datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape
A1,roll_02,rf,gaplendemandbin,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,gaplenpoolbin,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,gaplenpvbin,0,153,418.2467745907589,596.2545938011351,75.56449096364652
A1,roll_02,rf,gaplenpvbin,1,1,3.3680573096779653,3.3680573096779653,0.8814957906215214
A1,roll_02,rf,gaplenpvbin,2,6,139.26693504751077,182.34700947227245,27.81535524867455
A1,roll_02,rf,gaplenpvbin,3,7,73.72174863984394,135.30763212117878,8.69805066804069
A1,roll_02,rf,gaplentempbin,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,imputed_any,0,153,418.2467745907589,596.2545938011351,75.56449096364652
A1,roll_02,rf,imputed_any,1,14,96.78727914811786,152.9871661663649,16.332855854210976
A1,roll_02,rf,imputed_count,0,153,418.2467745907589,596.2545938011351,75.56449096364652
A1,roll_02,rf,imputed_count,1,14,96.78727914811786,152.9871661663649,16.332855854210976
A1,roll_02,rf,is_daylight,0,104,272.3981002768008,397.73847632660494,29.358883927408964
A1,roll_02,rf,is_daylight,1,63,587.577396693214,779.3952437946209,138.67782811025938
A1,roll_02,rf,overall,ALL,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,pool_on,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,pool_switch,0,167,391.2980743740105,572.4313139687015,70.59896466704711
A1,roll_02,rf,pv_regime,high,4,828.4255621110096,876.9833735656832,483.16414753631574
A1,roll_02,rf,pv_regime,low,31,659.83183923959,890.9452734861795,60.98968172181169
A1,roll_02,rf,pv_regime,med,18,522.6971872396805,681.559093196237,259.10143718169667
A1,roll_02,rf,pv_regime,night,114,282.19069987082617,404.7639895207025,28.972495671972858
A1,roll_02,rf,temp_bin,0,3,131.6471441709028,168.0764072077285,6.679790356151451
A1,roll_02,rf,temp_bin,1,88,281.0666708622232,405.9512038656391,28.793218255328163
A1,roll_02,rf,temp_bin,2,74,533.1013331835974,733.0520171526721,112.35150981609014
A1,roll_02,rf,temp_bin,3,2,384.235648242603,430.291203976025,461.0863977344342
A1,roll_03,mlr,flag_demand_imputed,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,flag_pool_imputed,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,flag_pv_imputed,0,147,516.2668064617304,646.7958004378268,87.0267000385568
A1,roll_03,mlr,flag_pv_imputed,1,20,250.40407803824738,309.6121351908164,38.978395277679624
A1,roll_03,mlr,flag_temp_imputed,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,gaplendemandbin,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,gaplenpoolbin,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,gaplenpvbin,0,147,516.2668064617304,646.7958004378268,87.0267000385568
A1,roll_03,mlr,gaplenpvbin,1,2,346.14323998101054,346.19214794504194,57.50528361908653
A1,roll_03,mlr,gaplenpvbin,2,7,326.95600811643516,404.20228309178293,46.85410016452897
A1,roll_03,mlr,gaplenpvbin,3,11,184.2820930898073,220.29712971234065,30.598057923974242
A1,roll_03,mlr,gaplentempbin,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,imputed_any,0,147,516.2668064617304,646.7958004378268,87.0267000385568
A1,roll_03,mlr,imputed_any,1,20,250.40407803824738,309.6121351908164,38.978395277679624
A1,roll_03,mlr,imputed_count,0,147,516.2668064617304,646.7958004378268,87.0267000385568
A1,roll_03,mlr,imputed_count,1,20,250.40407803824738,309.6121351908164,38.978395277679624
A1,roll_03,mlr,is_daylight,0,104,437.129610600617,559.8280887178012,49.25160764114123
A1,roll_03,mlr,is_daylight,1,63,562.5051207646846,699.4272184352142,134.13215264353576
A1,roll_03,mlr,overall,ALL,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,pool_on,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,pool_switch,0,167,484.4269587463432,616.2173589142807,81.27241204324217
A1,roll_03,mlr,pv_regime,high,7,881.6443881226899,1005.6517286172386,212.74035609956613
A1,roll_03,mlr,pv_regime,low,29,547.7992532344086,646.0857622263445,146.58181620015372
A1,roll_03,mlr,pv_regime,med,19,583.7125355940522,741.8006220326355,127.50621346894808
A1,roll_03,mlr,pv_regime,night,112,426.34888280085386,549.1394220322749,48.30196065008935
A1,roll_03,mlr,temp_bin,1,60,358.3991412982585,449.9433806582044,48.13848379240564
A1,roll_03,mlr,temp_bin,2,99,561.1448680450418,704.2730875002832,98.413958453452
A1,roll_03,mlr,temp_bin,3,8,480.25146203558313,519.9615176299895,117.65023709816941
A1,roll_03,persistence,flag_demand_imputed,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,flag_pool_imputed,0,167,451.6067950740062,635.4412020496833,74.02747971675704
