dataset_id,split_id,model_name,segment,n,mae,rmse,source_file
B2,roll_01,mlr,day,63,516.9743292435832,678.0857837548635,preds_B2_roll_01.csv
B2,roll_01,persistence,all,167,464.1098865162338,662.8558903706465,preds_B2_roll_01.csv
B2,roll_01,persistence,night,104,388.88039874500294,571.1368947815705,preds_B2_roll_01.csv
B2,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_B2_roll_01.csv
B2,roll_01,rf,all,167,408.9487260367957,551.6167240285712,preds_B2_roll_01.csv
B2,roll_01,rf,night,104,362.7853921934062,498.546764149163,preds_B2_roll_01.csv
B2,roll_01,rf,day,63,485.1548644449308,629.5103362811603,preds_B2_roll_01.csv
B2,roll_02,mlr,all,167,457.7512126881177,627.6310057173205,preds_B2_roll_02.csv
B2,roll_02,mlr,night,104,382.463189897362,490.11374609702773,preds_B2_roll_02.csv
B2,roll_02,mlr,day,63,582.0362026919051,804.7750262544789,preds_B2_roll_02.csv
B2,roll_02,persistence,all,167,448.9457162149462,690.7010939146944,preds_B2_roll_02.csv
B2,roll_02,persistence,night,104,342.2493530620492,533.0649839138016,preds_B2_roll_02.csv
B2,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_B2_roll_02.csv
B2,roll_02,rf,all,167,399.37956899550113,579.0594859009941,preds_B2_roll_02.csv
B2,roll_02,rf,night,104,282.06325413182253,393.8036063105873,preds_B2_roll_02.csv
B2,roll_02,rf,day,63,593.0445967069707,795.5062097639159,preds_B2_roll_02.csv
B2,roll_03,mlr,all,167,484.42695874634313,616.2173589142806,preds_B2_roll_03.csv
B2,roll_03,mlr,night,104,437.12961060061696,559.828088717801,preds_B2_roll_03.csv
B2,roll_03,mlr,day,63,562.505120764685,699.4272184352144,preds_B2_roll_03.csv
B2,roll_03,persistence,all,167,451.6067950740062,635.4412020496833,preds_B2_roll_03.csv
B2,roll_03,persistence,night,104,399.2904136970634,610.7277321046823,preds_B2_roll_03.csv
B2,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_B2_roll_03.csv
B2,roll_03,rf,all,167,399.38743528529557,570.4780182610796,preds_B2_roll_03.csv
B2,roll_03,rf,night,104,309.56613687626526,477.3008864808757,preds_B2_roll_03.csv
B2,roll_03,rf,day,63,547.6638644049647,697.5747682268301,preds_B2_roll_03.csv
B2,roll_04,mlr,all,150,403.87235084206594,536.6981271517124,preds_B2_roll_04.csv
B2,roll_04,mlr,night,81,369.08657246860594,440.21822361346665,preds_B2_roll_04.csv
B2,roll_04,mlr,day,69,444.7078298022145,631.4186134883647,preds_B2_roll_04.csv
B2,roll_04,persistence,all,150,394.9023090226489,563.3308141837591,preds_B2_roll_04.csv
B2,roll_04,persistence,night,81,347.6649685087506,494.7397704033707,preds_B2_roll_04.csv
B2,roll_04,persistence,day,69,450.35483919113824,634.458324911539,preds_B2_roll_04.csv
B2,roll_04,rf,all,150,329.32373456985516,503.6009306452037,preds_B2_roll_04.csv
B2,roll_04,rf,night,81,227.23386451243843,331.66526169747635,preds_B2_roll_04.csv
B2,roll_04,rf,day,69,449.1683646372574,649.7706963524054,preds_B2_roll_04.csv
B3,roll_01,mlr,all,167,484.406308996344,614.8849163268115,preds_B3_roll_01.csv
B3,roll_01,mlr,night,104,455.8608581328521,555.2371142867759,preds_B3_roll_01.csv
B3,roll_01,mlr,day,63,531.5289580408385,702.3538604589904,preds_B3_roll_01.csv
B3,roll_01,persistence,all,167,464.1098865162338,662.8558903706465,preds_B3_roll_01.csv
B3,roll_01,persistence,night,104,388.88039874500294,571.1368947815705,preds_B3_roll_01.csv
B3,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_B3_roll_01.csv
B3,roll_01,rf,all,167,408.6974289952498,544.768714353209,preds_B3_roll_01.csv
B3,roll_01,rf,night,104,373.4255035794291,503.56706872636255,preds_B3_roll_01.csv
B3,roll_01,rf,day,63,466.924099522954,606.6926285086629,preds_B3_roll_01.csv
B3,roll_02,mlr,all,167,440.65534244165866,597.8399684846825,preds_B3_roll_02.csv
B3,roll_02,mlr,night,104,374.0541340442602,483.5830866910836,preds_B3_roll_02.csv
B3,roll_02,mlr,day,63,550.600194399269,749.2561208521149,preds_B3_roll_02.csv
B3,roll_02,persistence,all,167,448.9457162149462,690.7010939146944,preds_B3_roll_02.csv
B3,roll_02,persistence,night,104,342.2493530620492,533.0649839138016,preds_B3_roll_02.csv
B3,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_B3_roll_02.csv
B3,roll_02,rf,all,167,408.4228599488166,581.5397403590157,preds_B3_roll_02.csv
B3,roll_02,rf,night,104,291.58992586819,406.2166446986722,preds_B3_roll_02.csv
B3,roll_02,rf,day,63,601.2899257327081,789.9792074143886,preds_B3_roll_02.csv
B3,roll_03,mlr,all,167,456.6290905297339,590.6879365902295,preds_B3_roll_03.csv
B3,roll_03,mlr,night,104,420.14075790844703,541.7136401668103,preds_B3_roll_03.csv
B3,roll_03,mlr,day,63,516.863798349001,663.6737861938983,preds_B3_roll_03.csv
B3,roll_03,persistence,all,167,451.6067950740062,635.4412020496833,preds_B3_roll_03.csv
B3,roll_03,persistence,night,104,399.2904136970634,610.7277321046823,preds_B3_roll_03.csv
B3,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_B3_roll_03.csv
