datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
B3,roll_01,rf,native,167,408.6974289952498,544.768714353209,41.52413628048098,466.924099522954,373.4255035794291,49.79285752352113,36.51519937363935,63,104,606.6926285086629,503.56706872636255
B3,roll_02,mlr,native,167,440.65534244165866,597.8399684846825,85.60102544821872,550.600194399269,374.0541340442602,139.17658295348764,53.14660119021928,63,104,749.2561208521149,483.5830866910836
B3,roll_02,persistence,native,167,448.9457162149462,690.7010939146944,69.05619842777008,625.079395070522,342.2493530620492,129.65683579995323,32.3461969426976,63,104,891.9204834453851,533.0649839138016
B3,roll_02,rf,native,167,408.4228599488166,581.5397403590157,74.13922457532098,601.2899257327081,291.58992586819,141.42205596165817,33.38135556244363,63,104,789.9792074143886,406.2166446986722
B3,roll_03,mlr,native,167,456.6290905297339,590.6879365902295,78.42543909653482,516.863798349001,420.14075790844703,136.1765272507075,43.44160684929557,63,104,663.6737861938983,541.7136401668103
B3,roll_03,persistence,native,167,451.6067950740062,635.4412020496833,74.02747971675704,537.9703452835627,399.2904136970634,137.4864105768242,35.58601198421636,63,104,674.2590562815245,610.7277321046823
B3,roll_03,rf,native,167,413.67709977088623,591.7631250667937,68.74129791074213,568.5975106756172,319.83108162667423,132.08552989776106,30.369311226297985,63,104,727.3504548923405,491.7709701534636
B3,roll_04,mlr,native,167,407.0552557523215,541.5082768696994,54.5861459972227,442.2705454630927,382.2608170784112,71.90708407112638,42.39079163906606,69,98,617.947618489098,480.4475362620125
B3,roll_04,persistence,native,167,367.8780820544635,544.0314664782638,44.47998187807959,450.35483919113824,309.8077122337435,64.31388555585052,30.51529459475107,69,98,634.458324911539,470.040719481948
B3,roll_04,rf,native,167,313.3112468603566,473.794211341563,44.78758486416474,452.2059491350912,215.51803811590065,72.88940473145921,25.001609651477843,69,98,642.4675395244075,303.1731205506577
B4,roll_01,mlr,native,127,521.8929088976153,666.3777822077642,57.260209980711984,516.352459934917,527.3467883452713,59.05982572481179,55.488713232613705,63,64,684.0501579035852,648.511351908867
B4,roll_01,persistence,native,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
B4,roll_01,rf,native,127,501.4776025591177,630.6523946918169,48.49873096950731,478.0933340584191,524.4964918644928,50.3437206956669,46.682569207818936,63,64,595.2443605939804,663.6646811524
B4,roll_02,mlr,native,138,492.6447794285064,641.072968963755,94.73888472040106,526.8851918561004,463.8828329893274,135.65678952606586,60.36784468364264,63,75,721.384892118209,564.8543159630372
B4,roll_02,persistence,native,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
B4,roll_02,rf,native,138,498.1802890206072,648.8520657546286,90.4079498560941,608.4288312822007,405.5715135208687,150.89352830909172,39.60006395557612,63,75,803.8483804154497,481.53079054776464
B4,roll_03,mlr,native,124,524.2667402850667,662.1962616512174,94.94229045148846,507.50521690813815,541.5778218055011,136.67926958921163,51.836885768266136,63,61,661.4378039592566,662.978675982464
B4,roll_03,persistence,native,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
