dataset_id,split_id,model_name,K,n_test,n_anom_resid,rate_anom_resid,n_anom_raw,rate_anom_raw
B2,roll_01,persistence,12,167,0,0.0,0,0.0
B2,roll_01,persistence,13,167,0,0.0,0,0.0
B2,roll_01,persistence,14,167,0,0.0,0,0.0
B2,roll_01,persistence,15,167,0,0.0,0,0.0
B2,roll_01,rf,3,167,3,0.017964071856287425,8,0.04790419161676647
B2,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
B2,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
B2,roll_01,rf,6,167,0,0.0,0,0.0
B2,roll_01,rf,7,167,0,0.0,0,0.0
B2,roll_01,rf,8,167,0,0.0,0,0.0
B2,roll_01,rf,9,167,0,0.0,0,0.0
B2,roll_01,rf,10,167,0,0.0,0,0.0
B2,roll_01,rf,11,167,0,0.0,0,0.0
B2,roll_01,rf,12,167,0,0.0,0,0.0
B2,roll_01,rf,13,167,0,0.0,0,0.0
B2,roll_01,rf,14,167,0,0.0,0,0.0
B2,roll_01,rf,15,167,0,0.0,0,0.0
B3,roll_01,mlr,3,167,8,0.04790419161676647,8,0.04790419161676647
B3,roll_01,mlr,4,167,1,0.005988023952095809,4,0.023952095808383235
B3,roll_01,mlr,5,167,0,0.0,3,0.017964071856287425
B3,roll_01,mlr,6,167,0,0.0,0,0.0
B3,roll_01,mlr,7,167,0,0.0,0,0.0
B3,roll_01,mlr,8,167,0,0.0,0,0.0
B3,roll_01,mlr,9,167,0,0.0,0,0.0
B3,roll_01,mlr,10,167,0,0.0,0,0.0
B3,roll_01,mlr,11,167,0,0.0,0,0.0
B3,roll_01,mlr,12,167,0,0.0,0,0.0
B3,roll_01,mlr,13,167,0,0.0,0,0.0
B3,roll_01,mlr,14,167,0,0.0,0,0.0
B3,roll_01,mlr,15,167,0,0.0,0,0.0
B3,roll_01,persistence,3,167,40,0.23952095808383234,6,0.03592814371257485
B3,roll_01,persistence,4,167,27,0.16167664670658682,3,0.017964071856287425
B3,roll_01,persistence,5,167,11,0.0658682634730539,1,0.005988023952095809
B3,roll_01,persistence,6,167,5,0.029940119760479042,0,0.0
B3,roll_01,persistence,7,167,1,0.005988023952095809,0,0.0
B3,roll_01,persistence,8,167,0,0.0,0,0.0
B3,roll_01,persistence,9,167,0,0.0,0,0.0
B3,roll_01,persistence,10,167,0,0.0,0,0.0
B3,roll_01,persistence,11,167,0,0.0,0,0.0
B3,roll_01,persistence,12,167,0,0.0,0,0.0
B3,roll_01,persistence,13,167,0,0.0,0,0.0
B3,roll_01,persistence,14,167,0,0.0,0,0.0
B3,roll_01,persistence,15,167,0,0.0,0,0.0
B3,roll_01,rf,3,167,4,0.023952095808383235,8,0.04790419161676647
B3,roll_01,rf,4,167,0,0.0,4,0.023952095808383235
B3,roll_01,rf,5,167,0,0.0,3,0.017964071856287425
B3,roll_01,rf,6,167,0,0.0,0,0.0
B3,roll_01,rf,7,167,0,0.0,0,0.0
B3,roll_01,rf,8,167,0,0.0,0,0.0
B3,roll_01,rf,9,167,0,0.0,0,0.0
B3,roll_01,rf,10,167,0,0.0,0,0.0
B3,roll_01,rf,11,167,0,0.0,0,0.0
B3,roll_01,rf,12,167,0,0.0,0,0.0
B3,roll_01,rf,13,167,0,0.0,0,0.0
B3,roll_01,rf,14,167,0,0.0,0,0.0
B3,roll_01,rf,15,167,0,0.0,0,0.0
B4,roll_01,mlr,3,127,1,0.007874015748031496,3,0.023622047244094488
B4,roll_01,mlr,4,127,0,0.0,0,0.0
B4,roll_01,mlr,5,127,0,0.0,0,0.0
B4,roll_01,mlr,6,127,0,0.0,0,0.0
B4,roll_01,mlr,7,127,0,0.0,0,0.0
B4,roll_01,mlr,8,127,0,0.0,0,0.0
B4,roll_01,mlr,9,127,0,0.0,0,0.0
B4,roll_01,mlr,10,127,0,0.0,0,0.0
B4,roll_01,mlr,11,127,0,0.0,0,0.0
B4,roll_01,mlr,12,127,0,0.0,0,0.0
B4,roll_01,mlr,13,127,0,0.0,0,0.0
B4,roll_01,mlr,14,127,0,0.0,0,0.0
B4,roll_01,mlr,15,127,0,0.0,0,0.0
B4,roll_01,persistence,3,127,28,0.2204724409448819,3,0.023622047244094488
B4,roll_01,persistence,4,127,11,0.08661417322834646,1,0.007874015748031496
B4,roll_01,persistence,5,127,4,0.031496062992125984,0,0.0
B4,roll_01,persistence,6,127,1,0.007874015748031496,0,0.0
B4,roll_01,persistence,7,127,0,0.0,0,0.0
B4,roll_01,persistence,8,127,0,0.0,0,0.0
B4,roll_01,persistence,9,127,0,0.0,0,0.0
B4,roll_01,persistence,10,127,0,0.0,0,0.0
B4,roll_01,persistence,11,127,0,0.0,0,0.0
B4,roll_01,persistence,12,127,0,0.0,0,0.0
B4,roll_01,persistence,13,127,0,0.0,0,0.0
B4,roll_01,persistence,14,127,0,0.0,0,0.0
B4,roll_01,persistence,15,127,0,0.0,0,0.0
B4,roll_01,rf,3,127,0,0.0,3,0.023622047244094488
B4,roll_01,rf,4,127,0,0.0,0,0.0
B4,roll_01,rf,5,127,0,0.0,0,0.0
B4,roll_01,rf,6,127,0,0.0,0,0.0
B4,roll_01,rf,7,127,0,0.0,0,0.0
B4,roll_01,rf,8,127,0,0.0,0,0.0
B4,roll_01,rf,9,127,0,0.0,0,0.0
B4,roll_01,rf,10,127,0,0.0,0,0.0
B4,roll_01,rf,11,127,0,0.0,0,0.0
B4,roll_01,rf,12,127,0,0.0,0,0.0
B4,roll_01,rf,13,127,0,0.0,0,0.0
B4,roll_01,rf,14,127,0,0.0,0,0.0
B4,roll_01,rf,15,127,0,0.0,0,0.0
A1,roll_02,mlr,3,167,13,0.07784431137724551,1,0.005988023952095809
A1,roll_02,mlr,4,167,6,0.03592814371257485,0,0.0
A1,roll_02,mlr,5,167,3,0.017964071856287425,0,0.0
A1,roll_02,mlr,6,167,1,0.005988023952095809,0,0.0
A1,roll_02,mlr,7,167,1,0.005988023952095809,0,0.0
A1,roll_02,mlr,8,167,1,0.005988023952095809,0,0.0
A1,roll_02,mlr,9,167,0,0.0,0,0.0
A1,roll_02,mlr,10,167,0,0.0,0,0.0
A1,roll_02,mlr,11,167,0,0.0,0,0.0
A1,roll_02,mlr,12,167,0,0.0,0,0.0
A1,roll_02,mlr,13,167,0,0.0,0,0.0
A1,roll_02,mlr,14,167,0,0.0,0,0.0
A1,roll_02,mlr,15,167,0,0.0,0,0.0
A1,roll_02,persistence,3,167,34,0.20359281437125748,1,0.005988023952095809
A1,roll_02,persistence,4,167,20,0.11976047904191617,0,0.0
A1,roll_02,persistence,5,167,11,0.0658682634730539,0,0.0
A1,roll_02,persistence,6,167,6,0.03592814371257485,0,0.0
A1,roll_02,persistence,7,167,4,0.023952095808383235,0,0.0
A1,roll_02,persistence,8,167,2,0.011976047904191617,0,0.0
A1,roll_02,persistence,9,167,2,0.011976047904191617,0,0.0
A1,roll_02,persistence,10,167,2,0.011976047904191617,0,0.0
A1,roll_02,persistence,11,167,1,0.005988023952095809,0,0.0
A1,roll_02,persistence,12,167,1,0.005988023952095809,0,0.0
A1,roll_02,persistence,13,167,0,0.0,0,0.0
A1,roll_02,persistence,14,167,0,0.0,0,0.0
A1,roll_02,persistence,15,167,0,0.0,0,0.0
A1,roll_02,rf,3,167,8,0.04790419161676647,1,0.005988023952095809
A1,roll_02,rf,4,167,2,0.011976047904191617,0,0.0
