datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_02,mlr,flag_demand_imputed,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,flag_pool_imputed,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,flag_pv_imputed,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,flag_temp_imputed,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,gaplendemandbin,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,gaplenpoolbin,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,gaplenpvbin,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,gaplentempbin,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,imputed_any,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,imputed_count,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,is_daylight,0,75,403.46505576329565,516.3802998887581,40.39485504088078,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,is_daylight,1,63,582.0362026919056,804.7750262544806,133.86379274394022,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,overall,ALL,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pool_on,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pool_switch,0,138,484.98666631766116,663.769457315254,83.06545703575574,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pv_regime,high,4,722.3706221545951,849.7195639638487,494.1716073649537,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pv_regime,low,31,661.4289304547509,918.2175716811769,65.21895202956894,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pv_regime,med,18,553.0555810471316,749.9343478977055,234.6863366082101,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,pv_regime,night,85,395.0515312973319,504.7218868725197,38.12005964247129,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,temp_bin,0,3,374.41677424957294,483.0402665652552,19.451568377728158,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,temp_bin,1,68,382.8589977151721,509.4019515997796,37.778717519614055,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,temp_bin,2,65,603.7964336812362,806.4740508384748,125.99237426325338,A1..B4_by_ts_target_utc,138
A1,roll_02,mlr,temp_bin,3,2,261.8647975882297,300.0434342268606,323.11062367794085,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,flag_demand_imputed,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,flag_pool_imputed,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,flag_pv_imputed,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,flag_temp_imputed,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,gaplendemandbin,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,gaplenpoolbin,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,gaplenpvbin,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,gaplentempbin,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,imputed_any,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,imputed_count,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,is_daylight,0,75,409.9004097945559,582.1585908325401,34.44242025835671,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,is_daylight,1,63,625.079395070522,891.9204834453851,129.65683579995323,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,overall,ALL,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
