datasetid,splitid,modelname,k,n_test,n_clean,n_imputed,residual_alerts_total,residual_alerts_clean,residual_alerts_imputed,residual_alert_rate_total,residual_alert_rate_clean,residual_alert_rate_imputed,residual_ratio_alerts_imputed_to_clean,raw_alerts_total,raw_alerts_clean,raw_alerts_imputed,raw_alert_rate_total,raw_alert_rate_clean,raw_alert_rate_imputed,raw_ratio_alerts_imputed_to_clean,residual_over_raw_rate_clean
A1,roll_02,rf,11,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,12,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,13,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,14,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_02,rf,15,167,153,14,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,3,167,147,20,16,16,0,0.09580838323353294,0.10884353741496598,0.0,0.0,11,11,0,0.0658682634730539,0.07482993197278912,0.0,0.0,1.4545454545454546
A1,roll_03,mlr,4,167,147,20,5,5,0,0.029940119760479042,0.034013605442176874,0.0,0.0,3,3,0,0.017964071856287425,0.02040816326530612,0.0,0.0,1.666666666666667
A1,roll_03,mlr,5,167,147,20,2,2,0,0.011976047904191617,0.013605442176870748,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,6,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,7,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,8,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,9,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,10,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,11,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,12,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,13,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,14,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,mlr,15,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,3,167,147,20,30,29,1,0.17964071856287425,0.19727891156462585,0.05,0.253448275862069,10,10,0,0.059880239520958084,0.06802721088435375,0.0,0.0,2.9
A1,roll_03,persistence,4,167,147,20,19,19,0,0.11377245508982035,0.1292517006802721,0.0,0.0,3,3,0,0.017964071856287425,0.02040816326530612,0.0,0.0,6.333333333333334
