ts_utc,demand_w_obs,demand_count_samples,demand_coverage_minutes,pv_w_obs,pv_count_samples,pv_coverage_minutes,pv_count_samples_clipped_noise,flag_pv_clipped_noise_hour,pv_count_samples_forced_night_zero,flag_pv_forced_night_zero_hour,pool_w_obs,pool_count_samples,pool_coverage_minutes,temp_sensor_c,temp_sensor_count_samples,temp_sensor_coverage_minutes,sun_altitude_hour_mid_deg,is_daylight_hour,temp_meteo_c,outdoor_temp_c_effective,outdoor_temp_c,flag_demand_missing_raw,flag_pv_missing_raw,flag_pool_missing_raw,flag_temp_sensor_missing_raw,flag_temp_meteo_missing_raw,flag_temp_sensor_missing,flag_temp_used_meteo,hour,day_of_week,month,is_weekend,is_holiday_it,hour_sin,hour_cos
2026-01-09 07:00:00+00:00,1917.6388459600832,1,0.0,0.0,1,0.0,0,0,1,1,18.792866169333333,1,0.0,0.6626632042222222,1,0.0,3.478485474145023,1,,0.6626632042222222,0.6626632042222222,0,0,0,0,1,0,0,7,4,1,0,0,0.9659258262890683,-0.25881904510252063
2026-01-09 08:00:00+00:00,2537.646863457084,1,0.0,14.120518125916668,1,0.0,0,0,0,0,19.253292459972226,1,0.0,0.6523814971388889,1,0.0,11.117817294902933,1,,0.6523814971388889,0.6523814971388889,0,0,0,0,1,0,0,8,4,1,0,0,0.8660254037844387,-0.4999999999999998
2026-01-09 09:00:00+00:00,1822.7418795589167,1,0.0,72.10103886938889,1,0.0,0,0,0,0,19.4775917105,1,0.0,1.1128761986666664,1,0.0,17.18919798965139,1,,1.1128761986666664,1.1128761986666664,0,0,0,0,1,0,0,9,4,1,0,0,0.7071067811865476,-0.7071067811865475
2026-01-09 10:00:00+00:00,1791.9841544997778,1,0.0,151.29219367175003,1,0.0,0,0,0,0,19.35161868911111,1,0.0,1.98489638075,1,0.0,21.114590357803312,1,,1.98489638075,1.98489638075,0,0,0,0,1,0,0,10,4,1,0,0,0.49999999999999994,-0.8660254037844387
2026-01-09 11:00:00+00:00,1919.5265633675,1,0.0,139.91217718894444,1,0.0,0,0,0,0,19.35153318558333,1,0.0,2.262476912472222,1,0.0,22.47867092910893,1,,2.262476912472222,2.262476912472222,0,0,0,0,1,0,0,11,4,1,0,0,0.258819045102521,-0.9659258262890682
2026-01-09 12:00:00+00:00,2047.7039229215836,1,0.0,186.2105002900278,1,0.0,0,0,0,0,19.16837650158333,1,0.0,2.847650250777777,1,0.0,21.118712838546585,1,,2.847650250777777,2.847650250777777,0,0,0,0,1,0,0,12,4,1,0,0,1.2246467991473532e-16,-1.0
2026-01-09 13:00:00+00:00,2327.2743383188613,1,0.0,200.4210866871111,1,0.0,0,0,0,0,19.27161853116667,1,0.0,3.145696257361111,1,0.0,17.197085350690152,1,,3.145696257361111,3.145696257361111,0,0,0,0,1,0,0,13,4,1,0,0,-0.2588190451025208,-0.9659258262890683
2026-01-09 14:00:00+00:00,2475.2395324104723,1,0.0,82.43391365811111,1,0.0,0,0,0,0,19.35677616725,1,0.0,3.133072349583333,1,0.0,11.1289551108428,1,,3.133072349583333,3.133072349583333,0,0,0,0,1,0,0,14,4,1,0,0,-0.4999999999999997,-0.8660254037844388
2026-01-09 15:00:00+00:00,2099.886327037028,1,0.0,0.0,1,0.0,1,1,0,0,19.360987204416663,1,0.0,2.6290986734444446,1,0.0,3.492087512048601,1,,2.6290986734444446,2.6290986734444446,0,0,0,0,1,0,0,15,4,1,0,0,-0.7071067811865471,-0.7071067811865479
2026-01-09 16:00:00+00:00,2043.670283908889,1,0.0,0.0,1,0.0,0,0,1,1,19.85295864,1,0.0,1.939139476805556,1,0.0,-5.70563987816538,0,,1.939139476805556,1.939139476805556,0,0,0,0,1,0,0,16,4,1,0,0,-0.8660254037844385,-0.5000000000000004
2026-01-09 17:00:00+00:00,2019.3687657176667,1,0.0,0.0,1,0.0,0,0,1,1,19.835660268583336,1,0.0,1.217477908166667,1,0.0,-15.513593910336356,0,,1.217477908166667,1.217477908166667,0,0,0,0,1,0,0,17,4,1,0,0,-0.9659258262890683,-0.25881904510252063
2026-01-09 18:00:00+00:00,1954.244045320861,1,0.0,0.0,1,0.0,0,0,1,1,19.23678338988889,1,0.0,0.9289692113611112,1,0.0,-25.81912481423082,0,,0.9289692113611112,0.9289692113611112,0,0,0,0,1,0,0,18,4,1,0,0,-1.0,-1.8369701987210297e-16
2026-01-09 19:00:00+00:00,2342.330235312528,1,0.0,0.0,1,0.0,0,0,1,1,19.81287825277778,1,0.0,0.4092512743333333,1,0.0,-36.310412410251715,0,,0.4092512743333333,0.4092512743333333,0,0,0,0,1,0,0,19,4,1,0,0,-0.9659258262890684,0.2588190451025203
2026-01-09 20:00:00+00:00,1013.7995625885,1,0.0,0.0,1,0.0,0,0,1,1,19.45130526275,1,0.0,0.2515169523333333,1,0.0,-46.608588378261814,0,,0.2515169523333333,0.2515169523333333,0,0,0,0,1,0,0,20,4,1,0,0,-0.8660254037844386,0.5000000000000001
2026-01-09 21:00:00+00:00,725.7640030931667,1,0.0,0.0,1,0.0,0,0,1,1,19.536728517805557,1,0.0,0.3369316828611111,1,0.0,-56.09026193752454,0,,0.3369316828611111,0.3369316828611111,0,0,0,0,1,0,0,21,4,1,0,0,-0.7071067811865477,0.7071067811865474
2026-01-09 22:00:00+00:00,457.7714818046389,1,0.0,0.0,1,0.0,0,0,1,1,19.54568773958333,1,0.0,-0.0993964285555555,1,0.0,-63.487955388425675,0,,-0.0993964285555555,-0.0993964285555555,0,0,0,0,1,0,0,22,4,1,0,0,-0.5000000000000004,0.8660254037844384
2026-01-09 23:00:00+00:00,442.25945804897225,1,0.0,,0,0.0,0,0,0,0,19.554546121416667,1,0.0,-0.5068927224166667,1,0.0,-66.49385120217198,0,,-0.5068927224166667,-0.5068927224166667,0,1,0,0,1,0,0,23,4,1,0,0,-0.25881904510252157,0.9659258262890681
2026-01-10 00:00:00+00:00,451.9524179743889,1,0.0,0.0,1,0.0,0,0,1,1,19.72183302536111,1,0.0,-0.9671161358888888,1,0.0,-63.499292120509466,0,,-0.9671161358888888,-0.9671161358888888,0,0,0,0,1,0,0,0,5,1,1,0,0.0,1.0
2026-01-10 01:00:00+00:00,391.0213954262777,1,0.0,0.0,1,0.0,0,0,1,1,19.78060053897222,1,0.0,-1.0026469610277775,1,0.0,-56.10601326049592,0,,-1.0026469610277775,-1.0026469610277775,0,0,0,0,1,0,0,1,5,1,1,0,0.25881904510252074,0.9659258262890683
2026-01-10 02:00:00+00:00,396.8184454624445,1,0.0,0.0,1,0.0,0,0,1,1,19.84117547511111,1,0.0,-1.43004016475,1,0.0,-46.62309687960425,0,,-1.43004016475,-1.43004016475,0,0,0,0,1,0,0,2,5,1,1,0,0.49999999999999994,0.8660254037844387
2026-01-10 03:00:00+00:00,392.470940987861,1,0.0,,0,0.0,0,0,0,0,19.594332831944445,1,0.0,-2.0527911047222225,1,0.0,-36.31986683144471,0,,-2.0527911047222225,-2.0527911047222225,0,1,0,0,1,0,0,3,5,1,1,0,0.7071067811865476,0.7071067811865476
2026-01-10 04:00:00+00:00,873.0134955361945,1,0.0,,0,0.0,0,0,0,0,19.60691321175,1,0.0,-2.043561415083333,1,0.0,-25.820328877095765,0,,-2.043561415083333,-2.043561415083333,0,1,0,0,1,0,0,4,5,1,1,0,0.8660254037844386,0.5000000000000001
2026-01-10 05:00:00+00:00,1704.9182572990833,1,0.0,,0,0.0,0,0,0,0,20.132826510388888,1,0.0,-2.261911361583333,1,0.0,-15.503308501392837,0,,-2.261911361583333,-2.261911361583333,0,1,0,0,1,0,0,5,5,1,1,0,0.9659258262890683,0.25881904510252074
2026-01-10 06:00:00+00:00,1945.5007948983052,1,0.0,0.0,1,0.0,0,0,1,1,20.04035808886111,1,0.0,-2.355004694305556,1,0.0,-5.680289793851195,0,,-2.355004694305556,-2.355004694305556,0,0,0,0,1,0,0,6,5,1,1,0,1.0,6.123233995736766e-17
2026-01-10 07:00:00+00:00,1939.5566896918056,1,0.0,0.0,1,0.0,0,0,1,1,19.88623256588889,1,0.0,-1.7362753571111111,1,0.0,3.5346669374483133,1,,-1.7362753571111111,-1.7362753571111111,0,0,0,0,1,0,0,7,5,1,1,0,0.9659258262890683,-0.25881904510252063
2026-01-10 08:00:00+00:00,2127.9194307847497,1,0.0,164.63475525730556,1,0.0,0,0,0,0,20.158948159944444,1,0.0,-0.6168132006111111,1,0.0,11.195986807498233,1,,-0.6168132006111111,-0.6168132006111111,0,0,0,0,1,0,0,8,5,1,1,0,0.8660254037844387,-0.4999999999999998
