mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
11.44693354765574,1.1923691459448427,2.1710814237594604,1.2404475724426176,10,0.3,8,10,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 8, 'min_samples_split': 10}",-585.9867612719842,-567.6711338232709,-391.9109928532261,-396.8802008697481,-253.2122851135228,-290.5795201215967,-414.3734823422248,125.87013304713263,109
12.930483142534891,2.493155042108572,3.09501051902771,0.5350784212658513,10,0.5,2,2,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2}",-551.3639838314513,-537.9424887104561,-388.1540241092111,-351.0871173754729,-275.9769084339871,-285.8123820061101,-398.38948407778145,110.20961830371544,3
15.66857914129893,2.3096752447518605,2.8290234804153442,0.6438052043650269,10,0.5,2,5,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5}",-551.0611059965163,-538.395455348607,-387.8475927226552,-350.59972542322475,-276.7458123186121,-287.8816667321595,-398.75522642362915,109.78285127556202,6
14.806606411933899,1.8254487528628256,3.0329983234405518,0.9362853706395541,10,0.5,2,10,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10}",-552.0051539119123,-538.208465224518,-387.45295148825846,-352.3830816791558,-274.23731503569917,-286.7194333709771,-398.5010667850868,110.50430226372544,5
15.1164071559906,1.8160564062373734,2.9158841371536255,0.5426222479375826,10,0.5,4,2,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2}",-547.7877959240768,-537.3014933549391,-387.9728878241057,-354.7223967591097,-274.73334748443176,-282.36101293590485,-397.479822380428,109.83336106927418,1
15.45749318599701,0.8255986680999818,2.7068646351496377,0.5497059782044972,10,0.5,4,5,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5}",-547.7877959240768,-537.3014933549391,-387.9728878241057,-354.7223967591097,-274.7333474844318,-282.36101293590485,-397.479822380428,109.83336106927416,1
15.018735885620117,1.9067654943208943,3.2632660468419394,0.8558795991733553,10,0.5,4,10,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 10}",-549.7223659797979,-536.9109399109644,-387.6318977006188,-355.9738841895712,-274.67023674048346,-285.84309922660736,-398.45873729134047,109.52758844098257,4
15.330875396728516,1.5024419950712489,2.4726109902064004,0.9656481831086233,10,0.5,8,2,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 2}",-554.741867907992,-539.2242115267204,-388.89967650836417,-365.15084775302023,-270.60267484402937,-290.89602977527284,-401.5858847192332,110.52779533304849,17
14.450339635213217,0.6458206143641235,2.533125122388204,0.7955440252420107,10,0.5,8,5,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 5}",-554.7418679079918,-539.2242115267204,-388.89967650836417,-365.15084775302023,-270.60267484402937,-290.89602977527284,-401.5858847192332,110.52779533304845,17
15.110301295916239,2.1768038146338515,4.075728376706441,0.18456586937124483,10,0.5,8,10,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 10}",-554.741867907992,-539.2242115267204,-388.89967650836417,-365.15084775302023,-270.60267484402937,-290.89602977527284,-401.5858847192332,110.52779533304849,17
18.939898769060772,4.408732847528697,4.040949622790019,0.22371962626838,10,0.7,2,2,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 2}",-548.2691240936133,-541.5215381768719,-391.93082546753953,-350.4471186657111,-288.71424322265096,-306.6672443731323,-404.5916823332532,104.48420949926306,37
20.26858941713969,2.769849388560942,4.054362456003825,0.453598483415714,10,0.7,2,5,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5}",-547.3262397441056,-542.3433820533219,-392.54874575914846,-351.5587631428797,-286.95815723913154,-307.3196140072261,-404.6758169909688,104.56709690024338,38
21.470648686091106,3.4662602016029362,4.106274922688802,0.537448486495953,10,0.7,2,10,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 10}",-548.1517603115724,-539.8644056258881,-392.30583907197143,-351.63946312135306,-287.0281046025663,-305.45283810304437,-404.0737351393993,104.49177060788082,31
