iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.767335851987203,0.09985538559680661,0.19547327359517416,0.06213159992928395,True,10,sqrt,8,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",-618.6820728154602,-610.2420292565911,-395.02594300808863,-472.5394558519396,-256.98852097072324,-314.2673891054674,-444.624235168045,137.33456912104984,2183,-438.68495169716647,-420.55767604904497,-423.88339208646795,-396.38455851255884,-374.2068062377871,-352.161642098537,-400.97983778026037,30.140416403240636
0,200,0.6437216997146606,0.09939382815421718,0.23101921876271567,0.06466099226474009,True,10,sqrt,8,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 200}",-623.3247130937002,-605.6968182138625,-395.974447278805,-465.0780597194796,-256.19047101317005,-369.1075840192228,-452.5620155563734,130.06113725841027,2344,-446.20955736940175,-427.52502250031046,-430.54387138678976,-404.4491279050118,-379.58295083491345,-357.68061193236707,-407.6651903214657,30.824580346884588
0,200,0.73905082543691,0.03598638541965188,0.12001633644104004,0.025390298879410963,True,10,sqrt,8,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 40, 'n_estimators': 200}",-632.6166487792962,-615.0704139864368,-402.9983930884115,-470.953583315292,-256.2189282430346,-386.67771925481566,-460.75594777788115,131.72696397315164,2439,-486.5601522510087,-463.12161440823496,-459.76964446546975,-428.74314477312083,-404.00790770804673,-378.2183764218452,-436.7368066712877,37.12259329499171
0,200,0.6001427968343099,0.12040869339124316,0.29763591289520264,0.10529781011313366,True,10,sqrt,8,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 80, 'n_estimators': 200}",-661.9014627267833,-632.9330210578897,-416.52254928247123,-492.4730245473478,-257.3924882839178,-375.2700919722125,-472.74877297843705,141.93225514954682,2543,-543.8980240453434,-506.27350418202167,-500.33161433446526,-464.4009461535513,-433.77742754874544,-405.3748508267609,-475.67606118181465,46.58901861485357
0,200,0.67326287428538,0.0433798515480193,0.19419662157694498,0.03360641215295593,True,10,sqrt,16,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 200}",-631.3233900104301,-621.6935288564574,-405.2124247768085,-481.40333534612887,-256.25556071990803,-401.7083083346779,-466.2660913407351,131.42197739350723,2490,-501.8374970045727,-476.19492564761447,-474.2213750862171,-441.36471903731496,-413.8508767342819,-388.668337830595,-449.35628855676606,38.9452372453168
0,200,0.7314244508743286,0.10718230265218744,0.1443470319112142,0.09545793535133341,True,10,sqrt,16,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 5, 'n_estimators': 200}",-631.3233900104301,-621.6935288564575,-405.21242477680846,-481.40333534612887,-256.25556071990803,-401.7083083346779,-466.2660913407351,131.42197739350726,2490,-501.83749700457275,-476.19492564761447,-474.2213750862171,-441.36471903731496,-413.8508767342819,-388.6683378305951,-449.35628855676606,38.9452372453168
0,200,0.5671850840250651,0.18524255555451252,0.3296237786610921,0.10028191457833789,True,10,sqrt,16,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 10, 'n_estimators': 200}",-631.3233900104302,-621.6935288564574,-405.2124247768085,-481.4033353461289,-256.25556071990803,-401.70830833467795,-466.26609134073516,131.42197739350723,2493,-501.8374970045727,-476.19492564761447,-474.2213750862171,-441.36471903731496,-413.8508767342819,-388.668337830595,-449.35628855676606,38.9452372453168
0,200,0.716976523399353,0.11884693879640645,0.21719849109649658,0.060091239214602986,True,10,sqrt,16,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 20, 'n_estimators': 200}",-631.3233900104302,-621.6935288564575,-405.21242477680846,-481.40333534612887,-256.25556071990803,-401.7083083346779,-466.2660913407351,131.42197739350726,2490,-501.8374970045727,-476.19492564761447,-474.2213750862171,-441.36471903731496,-413.8508767342819,-388.668337830595,-449.35628855676606,38.9452372453168
0,200,0.6612029870351156,0.16160787207834265,0.21864636739095053,0.14257955298728528,True,10,sqrt,16,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 40, 'n_estimators': 200}",-640.9558899343239,-626.4297544350163,-402.62249960493557,-480.5096304474858,-253.78118339808972,-394.6962777400853,-466.4992059266561,135.82713164873144,2494,-510.92396428712374,-482.97839570171675,-479.3886057603777,-445.40384381493345,-417.67116006740525,-391.66439508675825,-454.6717274530526,40.82761580789346
0,200,0.5562750895818075,0.14897697298966128,0.29901933670043945,0.10746879153869661,True,10,sqrt,16,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 80, 'n_estimators': 200}",-665.0225956382409,-638.2728595137552,-421.4155511257486,-493.48000218696404,-255.6810796621698,-368.4401187994634,-473.7187011543904,144.5829426823428,2554,-555.3906576932587,-517.3033700118484,-512.5835945359388,-473.14050582205977,-442.3079839224483,-413.6901311177377,-485.73604051721526,47.96580343884774
0,200,0.7667503356933594,0.13280684656582487,0.16885642210642496,0.06580070015952631,True,10,sqrt,32,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 2, 'n_estimators': 200}",-662.3978644998064,-647.2190756368949,-424.7494073027803,-499.30059218964294,-256.42664710640787,-337.3947970816783,-471.24806396953517,149.73201105140174,2532,-568.1395869635169,-533.1392373716212,-523.1987065371277,-484.03061438176184,-453.3840663171779,-424.94252875955834,-497.80579005512726,48.84020806942613
0,200,0.5783924261728922,0.2084761591914265,0.20944392681121826,0.07198110375110985,True,10,sqrt,32,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 5, 'n_estimators': 200}",-662.3978644998064,-647.2190756368949,-424.7494073027803,-499.30059218964294,-256.42664710640787,-337.3947970816783,-471.24806396953517,149.73201105140174,2532,-568.1395869635169,-533.1392373716212,-523.1987065371277,-484.03061438176184,-453.3840663171779,-424.9425287595584,-497.80579005512726,48.84020806942612
0,200,0.5571851332982382,0.11521224728824371,0.19647653897603354,0.025131020017707284,True,10,sqrt,32,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 10, 'n_estimators': 200}",-662.3978644998064,-647.2190756368949,-424.7494073027803,-499.30059218964294,-256.42664710640787,-337.3947970816783,-471.24806396953517,149.73201105140174,2532,-568.1395869635169,-533.1392373716212,-523.1987065371277,-484.03061438176184,-453.3840663171779,-424.9425287595584,-497.80579005512726,48.84020806942612
0,200,0.7309003671010336,0.10079517341921278,0.14299496014912924,0.07927768547185075,True,10,sqrt,32,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 20, 'n_estimators': 200}",-662.3978644998064,-647.2190756368949,-424.7494073027803,-499.30059218964294,-256.42664710640787,-337.3947970816783,-471.24806396953517,149.73201105140174,2532,-568.1395869635169,-533.1392373716212,-523.1987065371277,-484.03061438176184,-453.3840663171779,-424.9425287595584,-497.80579005512726,48.84020806942612
0,200,0.5727298657099406,0.09175759879430744,0.2476192315419515,0.05201543462092683,True,10,sqrt,32,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 40, 'n_estimators': 200}",-662.3978644998064,-647.2190756368949,-424.7494073027803,-499.30059218964294,-256.42664710640787,-337.3947970816783,-471.24806396953517,149.73201105140174,2532,-568.1395869635169,-533.1392373716212,-523.1987065371277,-484.03061438176184,-453.3840663171779,-424.9425287595584,-497.80579005512726,48.84020806942612
0,200,0.6978955666224161,0.08785477361552979,0.16950647036234537,0.028870827015957844,True,10,sqrt,32,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 80, 'n_estimators': 200}",-669.812553899678,-651.7333148755029,-434.02357939905556,-508.59886727495933,-255.07701757518433,-333.0101652288081,-475.3759163755314,153.0364499988332,2560,-580.0476537181937,-541.0628467223227,-532.235879615619,-489.58643660244746,-457.5027620772515,-427.51519171765307,-504.65846174224794,51.91536951604297
0,200,0.7465890645980835,0.2677899946914659,0.4773112138112386,0.32360639369901345,True,10,0.3,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-602.8663188075097,-568.2562466181873,-390.2244725142336,-435.7570648419143,-257.45432027677566,-263.43033153407055,-419.66479243211523,133.8465273117842,1704,-275.3012329539488,-284.78212085310236,-293.3328218977062,-280.94371523217495,-277.20913842668506,-263.2977790956627,-279.1444680765467,9.182985281019528
0,200,1.0035256544748943,0.22271781807858937,0.47103607654571533,0.13128508058919003,True,10,0.3,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-605.1160399123844,-578.2710329963181,-387.9981595455834,-440.90336341213236,-258.06578224404205,-278.6631034489364,-424.83624692656616,133.43988035434188,1854,-294.79124412195193,-300.4407068895579,-307.1271905273502,-293.1597291598068,-285.6370603838512,-272.0393689792723,-292.199216676965,11.164595149524589
0,200,1.0612624883651733,0.33398066707487756,0.36429131031036377,0.2428347008723502,True,10,0.3,1,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-613.9469795389863,-581.533951705025,-387.07136949864497,-434.75919205584296,-255.47035176440605,-305.09149892230056,-429.64555724753427,132.1151801796022,1930,-331.2124359018659,-330.6728108916692,-335.44530483915656,-316.4313741306648,-305.9119097274014,-289.77539934288257,-318.2415391389401,16.249963118749832
0,200,0.690598209698995,0.1883999179244695,0.47813208897908527,0.14456855143339417,True,10,0.3,1,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-608.1107963543616,-576.919136973345,-383.121588381249,-437.03329296499703,-252.06058923760676,-297.08012769725514,-425.7209219348024,132.14638636358498,1876,-380.79159651252417,-373.7321282178671,-371.37285580164826,-351.2844656281282,-332.84032446957076,-315.48609653365276,-354.25124452723185,23.618533186247692
0,200,0.9497065544128418,0.1889750097067841,0.2856298287709554,0.12331768391476398,True,10,0.3,1,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 200}",-626.9182981627974,-584.8249396635885,-388.201562252139,-443.2085013662269,-253.16345711655268,-314.6528070828783,-435.16159427403045,134.8365909040769,2037,-438.2728967854991,-420.8961306397587,-417.7383965900122,-390.69632144951714,-367.91405051971145,-344.4496197512529,-396.6612359559586,32.534957814643825
0,200,0.765161911646525,0.2025243479147563,0.5617559353510538,0.4165995545691966,True,10,0.3,1,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 200}",-644.0739251778689,-595.2471514397783,-392.90094076695726,-456.18846141747935,-248.76835167467323,-300.04850956458256,-439.53789000688994,143.980851940928,2080,-508.6273622525051,-478.20699317923123,-468.91527939736113,-436.42872327570393,-406.5506278138988,-379.9202870628189,-446.44154549691984,43.775579062472
