iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,mean_train_score,std_train_score
0,200,0.536502997080485,0.08960658235909975,0.1685422658920288,0.0419643601187697,True,10,sqrt,2,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 200}",-598.0135281814964,-587.067848867742,-395.9533727837436,-445.329405528471,-252.06064855029803,-353.49394071032486,-438.6531241036793,123.39594054671274,2301,-463.7923895112722,-444.5356123582519,-443.9914405939951,-416.6820287649345,-389.28447945504496,-366.12727192204545,-420.7355371009241,34.03144563424901
0,200,0.6559998989105225,0.06011380188012858,0.13036954402923584,0.058000303350727464,True,10,sqrt,2,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 80, 'n_estimators': 200}",-621.3801008860382,-604.2686011379865,-409.98358228956937,-456.1335691118518,-251.0532406735484,-381.3827031099888,-454.0336328681639,128.4519365025323,2518,-525.0254663160231,-494.2375225369292,-490.4458219775143,-453.8378271257401,-423.9475313696017,-396.4402382311122,-463.98906792615344,43.987853441695655
0,200,0.4880003531773885,0.07935280669316692,0.1961759328842163,0.06571123066148778,True,10,sqrt,4,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-570.4657648566327,-567.5408319874689,-391.82864235286837,-424.4182749466668,-253.22363205411625,-370.5172077038252,-429.6657256502631,111.74654071245578,2196,-385.0385474556169,-379.07548568477944,-382.82367890546055,-361.95099297205263,-346.1875360191375,-326.8449495946729,-363.65353177195334,21.3130690238968
0,200,0.619284431139628,0.09738675342535563,0.16006290912628174,0.03829251417569183,True,10,sqrt,4,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-570.4657648566327,-567.5408319874689,-391.82864235286837,-424.4182749466668,-253.22363205411622,-370.5172077038252,-429.665725650263,111.74654071245578,2195,-385.0385474556169,-379.0754856847795,-382.8236789054606,-361.95099297205263,-346.18753601913744,-326.84494959467287,-363.65353177195334,21.31306902389684
0,200,0.6315337816874186,0.09659368869928601,0.17730140686035156,0.04287583842081457,True,10,sqrt,4,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-567.8169332583806,-570.7397860214681,-393.7618747766578,-428.64259045966696,-256.00967221859406,-349.5086207083016,-427.7465795738449,113.16453185703803,2122,-391.8076066138053,-383.240033247999,-390.55155698619393,-367.2050768081613,-348.7008472654244,-329.4425414812623,-368.491277067141,22.970822638791006
0,200,0.605703870455424,0.11057434007731559,0.159788449605306,0.06419322241293156,True,10,sqrt,4,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 200}",-575.1900354682168,-578.4042940533429,-391.90115048760407,-429.39214086668704,-253.46592857693636,-335.03831418543865,-427.23197727303767,118.8078989845037,2105,-425.62760186946247,-413.9179292816567,-412.8199405829694,-389.73259375470155,-367.55051877622543,-348.9731040071825,-393.103614712033,27.360572017470453
0,200,0.5600927273432413,0.06442726195313704,0.1364056666692098,0.06025939486116723,True,10,sqrt,4,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 40, 'n_estimators': 200}",-596.9027845891104,-587.9712561516627,-398.0449477423435,-442.27069380735685,-251.03181613712468,-378.8819992139604,-442.51724960692644,120.88956680805944,2429,-472.127678949983,-451.8168888595089,-449.25723383993585,-420.62335098958613,-395.7000446293514,-371.43762425222707,-426.8271369200988,34.773354276803424
0,200,0.5255714654922485,0.09134743623434669,0.15199061234792074,0.032126790066077125,True,10,sqrt,4,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 80, 'n_estimators': 200}",-625.4768885488984,-607.8181223084224,-408.99287876959943,-456.6358455523221,-253.5319600675294,-363.0950210464152,-452.59178604886455,131.3622082474313,2497,-529.3093418645403,-496.6702938705052,-492.76215101407433,-456.1295393413937,-427.0634391496474,-399.37733526804726,-466.88535008470143,44.18202985404455
0,200,0.6118279298146566,0.09225997887065014,0.130830446879069,0.02584610934123115,True,10,sqrt,8,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-579.4001571098823,-579.6890790604338,-392.43504983119897,-441.07641158571664,-253.46414538961278,-334.82126340138905,-430.1476843963722,120.05888049110249,2213,-445.34733824296416,-427.055469000325,-424.9985504480766,-398.6235433777777,-377.2422504235635,-354.7189148793785,-404.6643443953476,31.232880189370793
0,200,0.5598649581273397,0.05676189593775372,0.19350926081339517,0.07489043789102315,True,10,sqrt,8,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 200}",-579.4001571098823,-579.6890790604338,-392.43504983119897,-441.07641158571664,-253.46414538961278,-334.82126340138905,-430.1476843963722,120.05888049110249,2213,-445.34733824296416,-427.055469000325,-424.9985504480767,-398.6235433777777,-377.2422504235635,-354.7189148793785,-404.6643443953476,31.232880189370796
0,200,0.5571020046869913,0.04890578880243205,0.13779513041178384,0.04197182716806901,True,10,sqrt,8,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",-579.4001571098823,-579.6890790604336,-392.43504983119897,-441.07641158571664,-253.46414538961278,-334.82126340138905,-430.1476843963722,120.05888049110244,2213,-445.3473382429641,-427.055469000325,-424.9985504480766,-398.6235433777777,-377.2422504235635,-354.71891487937853,-404.6643443953476,31.232880189370764
0,200,0.6474554538726807,0.03353016047312866,0.14232258001963297,0.061032494850704735,True,10,sqrt,8,20,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 200}",-583.8765951065694,-582.0982024940852,-393.06095654954964,-437.460702657481,-253.8169592822284,-341.28101839216475,-431.9324057470131,120.49975181230684,2248,-449.2043911461029,-431.1161271229917,-432.74430531132776,-404.2136071727801,-380.4999423788424,-358.67309949071443,-409.4085787704598,31.71820275744405
0,200,0.5182387034098307,0.09625007030936523,0.15079331398010254,0.03250282985519482,True,10,sqrt,8,40,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 40, 'n_estimators': 200}",-604.375471548861,-587.6592117376948,-397.7694780321321,-442.84088852129884,-251.86280035300373,-364.1658561618711,-441.4456177258103,123.65807056166176,2407,-487.54771423575124,-460.60532629146667,-458.5812143378445,-429.7328259382949,-403.0984543476469,-378.2485501968341,-436.302347557973,37.033702697538864
0,200,0.6076527833938599,0.07943623682669668,0.13151737054189047,0.026510087131489408,True,10,sqrt,8,80,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 80, 'n_estimators': 200}",-627.8784205624842,-608.5028800671,-412.1506166782924,-465.36443879066184,-253.68948080823654,-343.1865892603027,-451.79540436117964,134.38757450425567,2490,-535.7746294807539,-501.6475331913354,-496.4356442386682,-460.2861082626962,-430.57177798070046,-403.7562153237267,-471.41198474631346,44.81802597490088
0,200,0.5152645508448283,0.06545181302412277,0.16563729445139566,0.05020851354189329,True,10,sqrt,16,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 200}",-605.4323734379503,-596.0797916798319,-397.79695271764535,-446.0099933071855,-249.89874996927588,-363.1968588762016,-443.0691199980151,126.1788938610277,2460,-501.466336159779,-473.85191513989054,-471.0820844499534,-439.43304802500427,-410.0922258588151,-385.92706998110583,-446.9754466024247,39.6166960403691
